id_transaction,date_transaction,amount_transaction,estatus_transaction,type_transaction,id_cliente,id_platform,id_bill
TXN001,2024-06-01 10:00:00,38940,Pendiente,Pago de Factura,1,1,FAC7068
TXN002,2024-07-09 12:00:00,75145,Pendiente,Pago de Factura,2,2,FAC6577
TXN003,2024-06-13 10:00:00,179217,Fallida,Pago de Factura,3,2,FAC5707
TXN004,2024-07-26 13:00:00,51767,Fallida,Pago de Factura,4,2,FAC7188
TXN005,2024-07-28 06:00:00,156501,Completada,Pago de Factura,5,2,FAC7289
TXN006,2024-07-16 21:00:00,32428,Completada,Pago de Factura,6,1,FAC2190
TXN007,2024-07-26 22:00:00,75301,Pendiente,Pago de Factura,7,2,FAC6207
TXN008,2024-06-17 16:00:00,16870,Pendiente,Pago de Factura,8,1,FAC1691
TXN009,2024-07-10 23:00:00,21794,Fallida,Pago de Factura,9,1,FAC4680
TXN010,2024-06-19 23:00:00,193307,Completada,Pago de Factura,10,2,FAC8010
TXN011,2024-06-01 06:00:00,159093,Completada,Pago de Factura,11,2,FAC1328
TXN012,2024-07-12 19:00:00,174518,Pendiente,Pago de Factura,12,1,FAC8140
TXN013,2024-07-04 12:00:00,110254,Fallida,Pago de Factura,13,2,FAC4679
TXN014,2024-07-12 04:00:00,162283,Pendiente,Pago de Factura,14,1,FAC3589
TXN015,2024-06-21 12:00:00,22161,Pendiente,Pago de Factura,15,2,FAC6122
TXN016,2024-07-08 12:00:00,195775,Pendiente,Pago de Factura,16,2,FAC4870
TXN017,2024-06-27 03:00:00,20824,Fallida,Pago de Factura,17,1,FAC5322
TXN018,2024-07-09 05:00:00,191134,Completada,Pago de Factura,18,1,FAC8663
TXN019,2024-06-16 20:00:00,62979,Completada,Pago de Factura,19,2,FAC4380
TXN020,2024-06-08 22:00:00,36472,Fallida,Pago de Factura,20,2,FAC5128
TXN021,2024-06-16 06:00:00,127881,Completada,Pago de Factura,21,1,FAC7986
TXN022,2024-07-30 03:00:00,26317,Fallida,Pago de Factura,22,2,FAC7543
TXN023,2024-07-27 01:00:00,147364,Pendiente,Pago de Factura,23,1,FAC7964
TXN024,2024-06-26 01:00:00,153404,Pendiente,Pago de Factura,24,2,FAC1309
TXN025,2024-07-07 10:00:00,14210,Completada,Pago de Factura,25,1,FAC8025
TXN026,2024-06-08 19:00:00,49012,Completada,Pago de Factura,26,2,FAC8943
TXN027,2024-06-28 06:00:00,40302,Fallida,Pago de Factura,27,2,FAC1190
TXN028,2024-07-03 01:00:00,27833,Pendiente,Pago de Factura,28,2,FAC4264
TXN029,2024-07-29 02:00:00,30313,Fallida,Pago de Factura,29,1,FAC1462
TXN030,2024-07-26 20:00:00,134884,Fallida,Pago de Factura,30,2,FAC6381
TXN031,2024-07-03 10:00:00,28982,Completada,Pago de Factura,31,1,FAC8571
TXN032,2024-06-15 17:00:00,158030,Pendiente,Pago de Factura,32,1,FAC7018
TXN033,2024-06-24 08:00:00,196009,Fallida,Pago de Factura,33,2,FAC4082
TXN034,2024-06-22 17:00:00,68526,Pendiente,Pago de Factura,34,2,FAC5756
TXN035,2024-06-23 12:00:00,165287,Completada,Pago de Factura,35,1,FAC9278
TXN036,2024-06-28 11:00:00,178265,Fallida,Pago de Factura,36,1,FAC6223
TXN037,2024-07-23 18:00:00,98069,Completada,Pago de Factura,37,1,FAC8510
TXN038,2024-07-28 00:00:00,153150,Completada,Pago de Factura,38,1,FAC4305
TXN039,2024-06-05 12:00:00,86902,Pendiente,Pago de Factura,39,2,FAC9358
TXN040,2024-06-28 04:00:00,96457,Pendiente,Pago de Factura,40,1,FAC1208
TXN041,2024-06-07 20:00:00,145586,Fallida,Pago de Factura,41,2,FAC5492
TXN042,2024-07-15 19:00:00,163425,Fallida,Pago de Factura,42,1,FAC6585
TXN043,2024-07-26 02:00:00,186218,Pendiente,Pago de Factura,43,1,FAC2187
TXN044,2024-07-12 01:00:00,159000,Fallida,Pago de Factura,44,2,FAC7545
TXN045,2024-07-21 21:00:00,94554,Pendiente,Pago de Factura,45,2,FAC9699
TXN046,2024-07-26 11:00:00,152659,Fallida,Pago de Factura,46,2,FAC2512
TXN047,2024-06-05 17:00:00,165021,Pendiente,Pago de Factura,47,2,FAC1330
TXN048,2024-06-10 10:00:00,115066,Completada,Pago de Factura,48,2,FAC9310
TXN049,2024-06-03 20:00:00,161029,Completada,Pago de Factura,49,2,FAC9524
TXN050,2024-07-29 03:00:00,167924,Completada,Pago de Factura,50,1,FAC7938
TXN051,2024-07-24 19:00:00,147991,Pendiente,Pago de Factura,51,2,FAC8649
TXN052,2024-07-26 11:00:00,124048,Completada,Pago de Factura,52,1,FAC4348
TXN053,2024-07-13 23:00:00,138162,Completada,Pago de Factura,53,1,FAC9905
TXN054,2024-06-28 00:00:00,161137,Fallida,Pago de Factura,54,1,FAC5210
TXN055,2024-06-17 03:00:00,35669,Fallida,Pago de Factura,55,2,FAC8033
TXN056,2024-07-06 07:00:00,67867,Fallida,Pago de Factura,56,1,FAC7850
TXN057,2024-07-25 20:00:00,58242,Fallida,Pago de Factura,57,1,FAC7378
TXN058,2024-06-09 20:00:00,113319,Pendiente,Pago de Factura,58,1,FAC3104
TXN059,2024-07-11 23:00:00,37708,Completada,Pago de Factura,59,2,FAC2382
TXN060,2024-07-20 16:00:00,54969,Pendiente,Pago de Factura,60,1,FAC6022
